Entity,Code,Year,average_farm_size_ha
Netherlands,NLD,2000,22.05110783
New Caledonia,NCL,1990,30.45709571
New Caledonia,NCL,2000,51.94564047
New Zealand,NZL,1960,231.345026
New Zealand,NZL,1970,303.0844415
New Zealand,NZL,1980,297.0043913
New Zealand,NZL,1990,216.1747009
New Zealand,NZL,2000,223.4335429
Nicaragua,NIC,1960,37.33752116
Nicaragua,NIC,2000,31.34324903
Northern Mariana Islands,MNP,1980,16.49498328
Northern Mariana Islands,MNP,1990,49.04201681
Northern Mariana Islands,MNP,2000,4.448598131
Pakistan,PAK,1960,3.479322439
Pakistan,PAK,1970,5.293385859
Pakistan,PAK,1980,4.695526182
Pakistan,PAK,1990,3.796538511
Pakistan,PAK,2000,3.087139348
Panama,PAN,1960,19.01528421
Panama,PAN,1970,18.18645331
Panama,PAN,1980,14.7431231
Panama,PAN,1990,13.75246266
Panama,PAN,2000,11.69594246
Paraguay,PRY,1960,108.6814283
Paraguay,PRY,1980,88.13936046
Paraguay,PRY,1990,77.52639631
Peru,PER,1960,20.42763678
Peru,PER,1970,16.92827403
Peru,PER,1990,20.1474762
Philippines,PHL,1960,3.588404894
Philippines,PHL,1970,3.607494938
Philippines,PHL,1980,2.850374073
Philippines,PHL,1990,2.163727177
Philippines,PHL,2000,2.005249092
Poland,POL,1960,6.368204665
Poland,POL,1970,4.830464857
Poland,POL,1990,8.265477135
Poland,POL,2000,6.588748721
Portugal,PRT,1970,6.128405384
Portugal,PRT,1980,6.611316625
Portugal,PRT,1990,8.878884394
Portugal,PRT,2000,12.4743791
Reunion,REU,1970,1.97466186
Reunion,REU,1980,3.561381566
Reunion,REU,1990,4.418607712
Reunion,REU,2000,4.654415681
Saint Lucia,LCA,1960,2.718250308
Saint Lucia,LCA,1970,2.663923935
Saint Lucia,LCA,1990,2.032551294
Saint Lucia,LCA,2000,1.55394284
Saint Vincent and the Grenadines,VCT,1990,1.356320542
Saint Vincent and the Grenadines,VCT,2000,0.975474255
Samoa,WSM,1990,6.0703667
Samoa,WSM,2000,3.623048731
Saudi Arabia,SAU,1970,6.716455416
Saudi Arabia,SAU,1980,10.06345772
Saudi Arabia,SAU,2000,16.70242336
Senegal,SEN,1960,3.630138795
Senegal,SEN,2000,4.296395957
Sierra Leone,SLE,1970,1.81931033
Sierra Leone,SLE,1980,1.630479475
Slovenia,SVN,1990,5.825735073
Slovenia,SVN,2000,10.99021569
South Korea,KOR,1960,2.064953259
South Korea,KOR,1970,0.880571318
South Korea,KOR,1980,0.938930873
South Korea,KOR,1990,1.050319451
Spain,ESP,1960,14.84562542
Spain,ESP,1970,17.77579589
Spain,ESP,1980,18.65501845
Spain,ESP,1990,18.79223648
Spain,ESP,2000,23.90592398
Sri Lanka,LKA,1960,1.614069231
Sri Lanka,LKA,1970,1.237580686
Sri Lanka,LKA,1980,1.082731972
Sri Lanka,LKA,2000,0.47
Suriname,SUR,1960,6.6145
Suriname,SUR,1970,5.836111457
Suriname,SUR,1980,7.45554902
Swaziland,,1970,19.47266171
Swaziland,,1980,11.7899303
Sweden,SWE,1970,65.39183432
Sweden,SWE,1980,76.00270984
Sweden,SWE,2000,93.86918069
Switzerland,CHE,1970,8.452953375
Switzerland,CHE,1980,10.15011096
Switzerland,CHE,1990,11.84937578
Syria,SYR,1970,9.007986523
Syria,SYR,1980,6.492679502
Tanzania,TZA,1970,1.26625901
Tanzania,TZA,1990,2.779726794
Tanzania,TZA,2000,2.447464287
Thailand,THA,1960,3.468508169
Thailand,THA,1980,3.721503962
Thailand,THA,1990,3.364693165
Thailand,THA,2000,3.161620877
Togo,TGO,1960,2.625903226
Togo,TGO,1970,1.413707733
Togo,TGO,1980,1.545713589
Togo,TGO,2000,1.960552599
Tonga,TON,1980,3.299179923
Tonga,TON,2000,2.623547637
Trinidad and Tobago,TTO,1960,6.005978322
Trinidad and Tobago,TTO,1980,4.330268625
Trinidad and Tobago,TTO,2000,4.447177018
Tunisia,TUN,1960,15.41436464
Tunisia,TUN,2000,10.45226325
Uganda,UGA,1960,3.293028181
Uganda,UGA,1990,2.160639776
United Kingdom,GBR,1960,40.73420343
United Kingdom,GBR,1970,55.07322359
United Kingdom,GBR,1980,65.41677837
United Kingdom,GBR,1990,70.84621527
United Kingdom,GBR,2000,70.85800643
United States,USA,1960,122.5501469
United States,USA,1970,157.6124666
United States,USA,1980,168.1191076
United States,USA,1990,186.9524294
United States,USA,2000,178.3538569
United States Virgin Islands,VIR,1960,35.59081836
United States Virgin Islands,VIR,1970,39.0754717
United States Virgin Islands,VIR,1980,26.11904762
United States Virgin Islands,VIR,1990,26.95505618
United States Virgin Islands,VIR,2000,19.42408377
Uruguay,URY,1960,195.2690575
Uruguay,URY,1970,214.062828
Uruguay,URY,1980,234.4088236
Uruguay,URY,1990,286.0651234
Uruguay,URY,2000,287.4040888
Venezuela,VEN,1960,81.24132911
Venezuela,VEN,1970,91.93604451
Venezuela,VEN,1980,82.03546775
Venezuela,VEN,2000,60.02485533
Vietnam,VNM,1990,0.519294365
Vietnam,VNM,2000,0.714130813
Yemen,YEM,1980,1.963302837
Yemen,YEM,2000,1.081348772
